Time/Residue,AFR5_R1.xvg,rmsd_ligand_md_A4482_R2.xvg
3.3900001,0.4040762,0.1643302
3.4000001,0.3940837,0.1696592
3.4100001,0.4106236,0.1335724
3.4200001,0.4045775,0.1476478
3.4300001,0.4125514,0.160065
3.4400001,0.4066424,0.156156
3.45,0.4190341,0.1524061
3.4600003,0.3918158,0.1648359
3.4700003,0.395181,0.1588953
3.4800003,0.3926009,0.1539605
3.4900002,0.40455,0.1481602
3.5000002,0.4076757,0.1580146
3.5100002,0.4116823,0.1405766
3.5200002,0.379392,0.142923
3.5300002,0.4042412,0.1533526
3.5400002,0.3800902,0.1629374
3.5500002,0.3602111,0.1822869
3.5600002,0.4140987,0.1698834
3.5700002,0.3801114,0.1506176
3.5800002,0.4006805,0.1546846
3.5900002,0.3829229,0.1495235
3.6000001,0.3933068,0.1728546
3.6100001,0.4000224,0.1683446
3.6200001,0.3904973,0.1547881
3.6300001,0.3865817,0.1694294
3.6400001,0.4133436,0.1607108
3.6500001,0.4018744,0.1660134
3.6600001,0.3796433,0.1684817
3.6700001,0.3619753,0.1786456
3.6800001,0.3864826,0.1623228
3.6900001,0.3938417,0.1695891
3.7000003,0.4022202,0.1485852
3.7100003,0.377584,0.1603245
3.7200003,0.4066261,0.1683773
3.7300003,0.3850168,0.1534947
3.7400002,0.3759051,0.1534887
3.7500002,0.4160032,0.1711648
3.7600002,0.3868397,0.1601996
3.7700002,0.3809643,0.1544342
3.7800002,0.3805838,0.1494373
3.7900002,0.3646878,0.1573613
3.8000002,0.3825966,0.157564
3.8100002,0.3974862,0.1546477
3.8200002,0.3854134,0.1619774
3.8300002,0.3925236,0.1558615
3.8400002,0.388773,0.1533215
3.8500001,0.3713439,0.1565578
3.8600001,0.3878716,0.1558313
3.8700001,0.4173967,0.1607541
3.8800001,0.4201155,0.1527256
3.8900001,0.3955762,0.1504854
3.9000001,0.38459,0.1653496
3.9100001,0.3773421,0.170492
3.9200001,0.4145813,0.1470679
3.9300003,0.379686,0.1784351
3.9400003,0.3699002,0.1684042
3.9500003,0.3752302,0.1713761
3.9600003,0.3549516,0.1545667
3.9700003,0.3717683,0.1691005
3.9800003,0.4073664,0.1723609
3.9900002,0.36788,0.1490923
4.0,0.3694493,0.1667112
4.0100002,0.3641269,0.1545215
4.02,0.3848418,0.1641129
4.0300002,0.371957,0.1643008
4.04,0.3881074,0.1705567
4.0500002,0.3654704,0.1656297
4.0600004,0.3739725,0.1548298
4.0700002,0.3818953,0.1613734
4.0800004,0.3884234,0.1586597
4.0900002,0.3750985,0.1632461
4.1000004,0.4012396,0.1568721
4.1100001,0.4072447,0.1601609
4.1200004,0.3601443,0.1528389
4.1300001,0.3708652,0.160131
4.1400003,0.3782046,0.1662854
4.1500001,0.341136,0.1531048
4.1600003,0.3552568,0.147589
4.1700001,0.3857418,0.1599544
4.1800003,0.3815084,0.1453134
4.1900001,0.3758191,0.1644522
4.2000003,0.3918918,0.158672
4.21,0.3716559,0.1633534
4.2200003,0.3773266,0.1636852
4.23,0.4087232,0.1677258
4.2400002,0.3707143,0.1592363
4.25,0.3682013,0.16358
4.2600002,0.3896989,0.1529113
4.27,0.4002714,0.1654413
4.2800002,0.3931726,0.1591204
4.2900004,0.366907,0.1663127
4.3000002,0.3714222,0.1489985
4.3100004,0.3788201,0.1555623
