Time/Residue,AFR2_R1.xvg,AFR2_R2.xvg
4.940000000000001e-06,6.0,2.0
4.95e-06,5.0,1.0
4.96e-06,4.0,2.0
4.97e-06,6.0,2.0
4.98e-06,5.0,3.0
4.9900000000000005e-06,6.0,0.0
5e-06,5.0,2.0
5.0099999999999995e-06,6.0,2.0
5.019999999999999e-06,5.0,1.0
5.030000000000001e-06,5.0,2.0
5.04e-06,5.0,1.0
5.05e-06,7.0,1.0
5.059999999999999e-06,6.0,2.0
5.07e-06,4.0,1.0
5.0800000000000005e-06,5.0,2.0
5.0899999999999995e-06,6.0,2.0
5.0999999999999995e-06,6.0,1.0
5.11e-06,7.0,2.0
5.12e-06,6.0,2.0
5.13e-06,5.0,1.0
5.14e-06,6.0,2.0
5.15e-06,7.0,2.0
5.1600000000000006e-06,5.0,2.0
5.1700000000000005e-06,6.0,3.0
5.1799999999999995e-06,6.0,3.0
5.19e-06,6.0,2.0
5.199999999999999e-06,6.0,1.0
5.21e-06,7.0,2.0
5.22e-06,5.0,1.0
5.23e-06,6.0,2.0
5.24e-06,5.0,1.0
5.2500000000000006e-06,6.0,2.0
5.26e-06,6.0,0.0
5.2699999999999995e-06,6.0,2.0
5.28e-06,5.0,2.0
5.29e-06,6.0,2.0
5.3e-06,6.0,1.0
5.31e-06,6.0,1.0
5.32e-06,6.0,2.0
5.33e-06,6.0,1.0
5.3400000000000005e-06,6.0,2.0
5.35e-06,6.0,2.0
5.36e-06,6.0,2.0
5.369999999999999e-06,5.0,2.0
5.38e-06,5.0,1.0
5.39e-06,6.0,2.0
5.4e-06,6.0,2.0
5.41e-06,6.0,2.0
5.420000000000001e-06,6.0,2.0
5.43e-06,6.0,2.0
5.4400000000000004e-06,6.0,2.0
5.45e-06,6.0,2.0
5.459999999999999e-06,7.0,2.0
5.47e-06,6.0,2.0
5.480000000000001e-06,6.0,1.0
5.49e-06,7.0,2.0
5.5e-06,5.0,2.0
5.51e-06,6.0,2.0
5.52e-06,6.0,1.0
5.53e-06,6.0,1.0
5.5399999999999995e-06,6.0,1.0
5.55e-06,5.0,0.0
5.56e-06,6.0,2.0
5.57e-06,6.0,1.0
