Time/Residue,AFR3_R1.xvg,AFR3_R2.xvg,Average
4.18,2.30098,2.29074,2.29586
4.19,2.3047,2.29373,2.299215
4.2,2.29717,2.28912,2.293145
4.21,2.30414,2.29432,2.29923
4.22,2.30243,2.29662,2.299525
4.23,2.30213,2.30117,2.30165
4.24,2.29259,2.29516,2.293875
4.25,2.30494,2.29331,2.299125
4.26,2.3073,2.29326,2.30028
4.27,2.30054,2.28758,2.29406
4.28,2.30224,2.29157,2.296905
4.29,2.31221,2.28079,2.2965
4.3,2.31309,2.29743,2.30526
4.31,2.3057,2.29067,2.298185
4.32,2.30845,2.29382,2.301135
4.33,2.31327,2.28884,2.301055
4.34,2.30424,2.29851,2.301375
4.35,2.30426,2.28722,2.29574
4.36,2.29669,2.29096,2.293825
4.37,2.30762,2.29347,2.300545
4.38,2.30363,2.29405,2.29884
4.39,2.30921,2.28414,2.296675
4.4,2.31074,2.2878,2.29927
4.41,2.29913,2.28002,2.289575
4.42,2.29895,2.28062,2.289785
4.43,2.30698,2.28067,2.293825
4.44,2.30309,2.28911,2.2961
4.45,2.30919,2.28266,2.295925
4.46,2.31552,2.28225,2.298885
4.47,2.31078,2.27839,2.294585
4.48,2.30903,2.29134,2.300185
4.49,2.30899,2.28678,2.297885
4.5,2.31526,2.28781,2.301535
4.51,2.31214,2.28296,2.29755
4.52,2.3128,2.29495,2.303875
4.53,2.30826,2.28985,2.299055
4.54,2.30805,2.29282,2.300435
4.55,2.3111,2.28291,2.297005
4.56,2.30524,2.28753,2.296385
4.57,2.31246,2.28538,2.29892
4.58,2.31352,2.28778,2.30065
4.59,2.30077,2.28374,2.292255
4.6,2.30323,2.28376,2.293495
4.61,2.30146,2.28468,2.29307
4.62,2.29457,2.2949,2.294735
4.63,2.30006,2.28805,2.294055
4.64,2.30303,2.28287,2.29295
4.65,2.29356,2.28178,2.28767
4.66,2.29806,2.28924,2.29365
4.67,2.28931,2.28581,2.28756
4.68,2.28852,2.28041,2.284465
4.69,2.29138,2.27664,2.28401
4.7,2.29062,2.28042,2.28552
4.71,2.29497,2.27716,2.286065
4.72,2.29985,2.2823,2.291075
4.73,2.28647,2.27996,2.283215
4.74,2.29779,2.28508,2.291435
4.75,2.28801,2.27901,2.28351
4.76,2.29155,2.28661,2.28908
4.77,2.29083,2.27861,2.28472
4.78,2.28467,2.28203,2.28335
4.79,2.28922,2.27382,2.28152
4.8,2.29717,2.28606,2.291615
4.81,2.28355,2.27951,2.28153
4.82,2.28445,2.29737,2.29091
4.83,2.2853,2.28549,2.285395
4.84,2.28962,2.28628,2.28795
4.85,2.28539,2.27906,2.282225
4.86,2.28898,2.28818,2.28858
4.87,2.28597,2.28382,2.284895
4.88,2.29539,2.29347,2.29443
4.89,2.29204,2.28876,2.2904
4.9,2.28861,2.28871,2.28866
4.91,2.29412,2.29086,2.29249
4.92,2.29781,2.29455,2.29618
4.93,2.29849,2.29031,2.2944
4.94,2.30074,2.29216,2.29645
4.95,2.29778,2.28869,2.293235
4.96,2.2953,2.29094,2.29312
4.97,2.30282,2.28132,2.29207
4.98,2.29817,2.28974,2.293955
4.99,2.30674,2.2914,2.29907
5,2.29405,2.29274,2.293395
5.01,2.29954,2.29216,2.29585
5.02,2.29094,2.28609,2.288515
5.03,2.29666,2.29925,2.297955
5.04,2.29736,2.29062,2.29399
5.05,2.29999,2.29535,2.29767
5.06,2.29418,2.29056,2.29237
5.07,2.31123,2.28767,2.29945
5.08,2.2973,2.29093,2.294115
5.09,2.29274,2.29219,2.292465
5.1,2.29258,2.2923,2.29244
5.11,2.30033,2.29004,2.295185
5.12,2.29717,2.28978,2.293475
5.13,2.30011,2.28047,2.29029
5.14,2.30106,2.28632,2.29369
5.15,2.30834,2.28829,2.298315
5.16,2.30184,2.28776,2.2948
5.17,2.30285,2.29863,2.30074
5.18,2.29876,2.29343,2.296095
5.19,2.30845,2.29099,2.29972
5.2,2.30204,2.29176,2.2969
5.21,2.29583,2.29964,2.297735
5.22,2.30561,2.29792,2.301765
5.23,2.29561,2.29721,2.29641
5.24,2.30163,2.29181,2.29672
5.25,2.30845,2.28914,2.298795
5.26,2.30631,2.28884,2.297575
5.27,2.30083,2.29438,2.297605
5.28,2.30152,2.29452,2.29802
5.29,2.29895,2.28871,2.29383
5.3,2.30653,2.29394,2.300235
5.31,2.29865,2.29829,2.29847
5.32,2.30326,2.29588,2.29957
5.33,2.30906,2.29754,2.3033
5.34,2.30148,2.29257,2.297025
5.35,2.3079,2.29696,2.30243
5.36,2.30845,2.29538,2.301915
5.37,2.30208,2.29483,2.298455
5.38,2.30628,2.28905,2.297665
5.39,2.30392,2.29474,2.29933
5.4,2.29877,2.28364,2.291205
5.41,2.30719,2.28857,2.29788
5.42,2.31065,2.2898,2.300225
5.43,2.30444,2.28846,2.29645
5.44,2.31192,2.29106,2.30149
5.45,2.31372,2.29196,2.30284
5.46,2.31087,2.28547,2.29817
5.47,2.30669,2.28886,2.297775
5.48,2.31026,2.28834,2.2993
5.49,2.31225,2.29197,2.30211
5.5,2.30745,2.29216,2.299805
5.51,2.30294,2.29684,2.29989
5.52,2.30709,2.29836,2.302725
5.53,2.30615,2.29483,2.30049
5.54,2.31279,2.29484,2.303815
5.55,2.30817,2.28856,2.298365
5.56,2.30547,2.29031,2.29789
5.57,2.31098,2.2895,2.30024
5.58,2.30646,2.28394,2.2952
5.59,2.30061,2.28666,2.293635
5.6,2.30547,2.28648,2.295975
5.61,2.30805,2.29007,2.29906
5.62,2.30188,2.29594,2.29891
5.63,2.29789,2.28704,2.292465
5.64,2.29982,2.2946,2.29721
5.65,2.2961,2.28599,2.291045
5.66,2.30574,2.29047,2.298105
5.67,2.29899,2.28998,2.294485
5.68,2.30484,2.30156,2.3032
5.69,2.31203,2.30109,2.30656
5.7,2.31231,2.28991,2.30111
5.71,2.30799,2.29372,2.300855
5.72,2.3132,2.30241,2.307805
5.73,2.30498,2.3018,2.30339
5.74,2.30389,2.29764,2.300765
5.75,2.31905,2.30831,2.31368
5.76,2.31693,2.29495,2.30594
5.77,2.3161,2.29029,2.303195
5.78,2.3144,2.29521,2.304805
5.79,2.31481,2.29517,2.30499
5.8,2.31845,2.30362,2.311035
5.81,2.31321,2.29785,2.30553
5.82,2.32345,2.29181,2.30763
5.83,2.31479,2.29577,2.30528
5.84,2.31035,2.29866,2.304505
5.85,2.31339,2.30078,2.307085
5.86,2.30493,2.30551,2.30522
5.87,2.31157,2.30477,2.30817
5.88,2.30927,2.3084,2.308835
5.89,2.30951,2.30904,2.309275
5.9,2.31413,2.30743,2.31078
5.91,2.30972,2.29751,2.303615
5.92,2.30051,2.29551,2.29801
5.93,2.30942,2.30623,2.307825
5.94,2.30361,2.30318,2.303395
5.95,2.31216,2.29702,2.30459
5.96,2.30884,2.30444,2.30664
5.97,2.31383,2.2916,2.302715
5.98,2.32151,2.28753,2.30452
5.99,2.32069,2.29125,2.30597
6,2.31947,2.29206,2.305765
6.01,2.31466,2.3006,2.30763
6.02,2.31498,2.30213,2.308555
6.03,2.31042,2.29584,2.30313
6.04,2.31224,2.29475,2.303495
6.05,2.32055,2.30639,2.31347
6.06,2.30859,2.29306,2.300825
6.07,2.31624,2.29101,2.303625
6.08,2.31165,2.29149,2.30157
6.09,2.30781,2.30285,2.30533
6.1,2.30798,2.29437,2.301175
6.11,2.31099,2.29224,2.301615
6.12,2.31217,2.2995,2.305835
6.13,2.31099,2.29285,2.30192
6.14,2.32051,2.28873,2.30462
6.15,2.31011,2.28305,2.29658
6.16,2.31449,2.30265,2.30857
6.17,2.31056,2.30194,2.30625
6.18,2.31066,2.29868,2.30467
6.19,2.31838,2.3026,2.31049
6.2,2.31173,2.2963,2.304015
6.21,2.31536,2.29967,2.307515
6.22,2.30499,2.29514,2.300065
6.23,2.30196,2.29246,2.29721
6.24,2.3118,2.30068,2.30624
6.25,2.3052,2.29494,2.30007
6.26,2.3084,2.28702,2.29771
6.27,2.30582,2.29064,2.29823
6.28,2.29832,2.28915,2.293735
6.29,2.30041,2.28714,2.293775
6.3,2.30628,2.28653,2.296405
6.31,2.30249,2.28271,2.2926
6.32,2.29952,2.28888,2.2942
6.33,2.30201,2.29663,2.29932
6.34,2.30025,2.29104,2.295645
6.35,2.29577,2.2937,2.294735
6.36,2.30247,2.29003,2.29625
6.37,2.29852,2.29864,2.29858
6.38,2.29305,2.30487,2.29896
6.39,2.30257,2.29415,2.29836
6.4,2.3163,2.29806,2.30718
6.41,2.31472,2.29119,2.302955
6.42,2.30038,2.29514,2.29776
6.43,2.30265,2.28708,2.294865
6.44,2.30244,2.28841,2.295425
6.45,2.30608,2.29559,2.300835
6.46,2.31299,2.29358,2.303285
6.47,2.31203,2.28446,2.298245
6.48,2.31235,2.29129,2.30182
6.49,2.30765,2.28725,2.29745
6.5,2.31325,2.28653,2.29989
6.51,2.31225,2.29957,2.30591
6.52,2.30895,2.29748,2.303215
6.53,2.30747,2.29545,2.30146
6.54,2.30935,2.29549,2.30242
6.55,2.30886,2.28788,2.29837
6.56,2.2999,2.29277,2.296335
6.57,2.29577,2.29607,2.29592
6.58,2.30287,2.29699,2.29993
6.59,2.30594,2.29211,2.299025
6.6,2.30382,2.29287,2.298345
6.61,2.31187,2.30154,2.306705
6.62,2.30566,2.29465,2.300155
6.63,2.31187,2.30073,2.3063
6.64,2.30576,2.29539,2.300575
6.65,2.31239,2.28872,2.300555
6.66,2.31349,2.28369,2.29859
6.67,2.31646,2.29358,2.30502
6.68,2.31491,2.28777,2.30134
6.69,2.31071,2.29763,2.30417
6.7,2.32077,2.29011,2.30544
6.71,2.31209,2.28919,2.30064
6.72,2.29659,2.28996,2.293275
6.73,2.30658,2.29508,2.30083
6.74,2.30954,2.28269,2.296115
6.75,2.30515,2.28657,2.29586
6.76,2.29611,2.29829,2.2972
6.77,2.30995,2.30316,2.306555
6.78,2.31119,2.30333,2.30726
6.79,2.30422,2.2927,2.29846
6.8,2.30803,2.29513,2.30158
6.81,2.30782,2.29093,2.299375
6.82,2.30725,2.29091,2.29908
6.83,2.31872,2.28858,2.30365
6.84,2.31085,2.2938,2.302325
6.85,2.30461,2.29558,2.300095
6.86,2.29954,2.29336,2.29645
