Time/Residue,AFR5_R1.xvg,RoG_md_A4482_R2.xvg
3.95,2.31797,2.30382
3.96,2.31411,2.31421
3.97,2.31226,2.30629
3.98,2.31943,2.30506
3.99,2.31791,2.31131
4.0,2.31354,2.31281
4.01,2.30923,2.31191
4.02,2.30618,2.31067
4.03,2.30962,2.30744
4.04,2.31166,2.31364
4.05,2.31471,2.30728
4.06,2.31235,2.31028
4.07,2.30236,2.31101
4.08,2.31133,2.30466
4.09,2.30816,2.2958
4.1,2.30741,2.30606
4.11,2.31908,2.29651
4.12,2.30786,2.3098
4.13,2.30697,2.30895
4.14,2.31617,2.30562
4.15,2.30389,2.31741
4.16,2.31018,2.3266
4.17,2.31046,2.32307
4.18,2.31118,2.3089
4.19,2.31493,2.3107
4.2,2.30685,2.32031
4.21,2.30867,2.3165
4.22,2.31446,2.30971
4.23,2.31985,2.30835
4.24,2.31463,2.31173
4.25,2.31204,2.30889
4.26,2.31758,2.31804
4.27,2.31253,2.30205
4.28,2.30641,2.30634
4.29,2.30367,2.30933
4.3,2.31572,2.30036
4.31,2.31375,2.31382
4.32,2.31723,2.30714
4.33,2.31718,2.3066
4.34,2.31427,2.30182
4.35,2.31302,2.3141
4.36,2.31562,2.30645
4.37,2.31615,2.29627
4.38,2.30754,2.30319
4.39,2.31122,2.30545
4.4,2.31071,2.30023
4.41,2.31331,2.30389
4.42,2.31559,2.30449
4.43,2.31592,2.29857
4.44,2.31805,2.29336
4.45,2.31122,2.30593
4.46,2.30737,2.29819
4.47,2.30651,2.30154
4.48,2.30809,2.30047
4.49,2.30774,2.3068
4.5,2.30654,2.30809
4.51,2.31022,2.29569
4.52,2.31345,2.30044
4.53,2.31483,2.31039
4.54,2.3084,2.30257
4.55,2.31438,2.30078
4.56,2.31009,2.3081
4.57,2.31087,2.30601
4.58,2.3056,2.30704
4.59,2.31657,2.31158
4.6,2.32048,2.30868
4.61,2.30609,2.30275
4.62,2.32021,2.3027
4.63,2.31342,2.31187
4.64,2.30867,2.30447
4.65,2.31005,2.29892
4.66,2.3002,2.30138
4.67,2.30086,2.29916
4.68,2.30891,2.31257
4.69,2.3038,2.30465
4.7,2.30697,2.29603
4.71,2.30729,2.30069
4.72,2.30434,2.30787
4.73,2.30936,2.30904
4.74,2.30401,2.30504
4.75,2.30185,2.29924
4.76,2.30295,2.30068
4.77,2.30774,2.30055
4.78,2.3082,2.30566
4.79,2.30199,2.3072
4.8,2.30059,2.29876
4.81,2.31006,2.30742
4.82,2.29511,2.30652
4.83,2.29702,2.29605
4.84,2.30105,2.29695
4.85,2.30109,2.29935
4.86,2.29656,2.29941
4.87,2.293,2.30367
4.88,2.30347,2.30098
4.89,2.30876,2.29424
4.9,2.3067,2.29737
4.91,2.3047,2.29475
4.92,2.30192,2.30011
4.93,2.3081,2.29308
4.94,2.30606,2.30071
4.95,2.30084,2.28931
4.96,2.30372,2.28779
4.97,2.30484,2.28895
4.98,2.30589,2.29577
4.99,2.30566,2.28346
5.0,2.30358,2.29204
5.01,2.30438,2.29866
5.02,2.3101,2.30378
5.03,2.3129,2.30203
5.04,2.30504,2.30035
5.05,2.30828,2.28877
5.06,2.31022,2.29484
5.07,2.30303,2.29625
5.08,2.30084,2.28909
5.09,2.30834,2.29049
5.1,2.30801,2.30071
5.11,2.30836,2.29781
5.12,2.31035,2.29447
5.13,2.30324,2.29834
5.14,2.3022,2.30481
5.15,2.30355,2.29425
5.16,2.30556,2.29501
5.17,2.30139,2.30184
5.18,2.29808,2.2959
5.19,2.30037,2.30387
5.2,2.30385,2.30263
5.21,2.30164,2.30421
5.22,2.311,2.2934
5.23,2.29878,2.29844
5.24,2.30371,2.29297
5.25,2.29864,2.2908
5.26,2.30587,2.28758
5.27,2.30114,2.29338
5.28,2.30626,2.29904
5.29,2.30493,2.29853
5.3,2.31141,2.29384
5.31,2.30761,2.30208
5.32,2.30266,2.3008
5.33,2.3056,2.30154
5.34,2.30544,2.29941
5.35,2.30615,2.2973
5.36,2.30591,2.30655
5.37,2.29853,2.29469
5.38,2.29785,2.29925
5.39,2.3023,2.2948
5.4,2.3095,2.30116
5.41,2.30447,2.30345
5.42,2.30347,2.29897
5.43,2.30227,2.30031
5.44,2.29943,2.30683
5.45,2.30164,2.29809
5.46,2.30318,2.29605
5.47,2.3051,2.29871
5.48,2.30309,2.30501
5.49,2.3001,2.30017
5.5,2.30207,2.30544
5.51,2.30916,2.31022
5.52,2.30558,2.30465
5.53,2.30231,2.30915
5.54,2.31258,2.30615
5.55,2.30108,2.31075
5.56,2.31617,2.31159
5.57,2.31471,2.30702
5.58,2.32003,2.31359
5.59,2.31797,2.32664
5.6,2.31355,2.3205
5.61,2.31858,2.31838
5.62,2.313,2.3198
5.63,2.29976,2.31561
5.64,2.30354,2.31461
5.65,2.30383,2.31145
5.66,2.30955,2.31481
5.67,2.31428,2.30114
5.68,2.31501,2.31875
5.69,2.3088,2.29767
5.7,2.30847,2.30746
5.71,2.30221,2.3027
5.72,2.30893,2.29794
5.73,2.31536,2.29427
5.74,2.31602,2.29628
5.75,2.3239,2.30351
5.76,2.31998,2.30015
5.77,2.31948,2.30682
5.78,2.31233,2.29629
5.79,2.31565,2.30156
5.8,2.30907,2.30022
5.81,2.31295,2.30332
5.82,2.31463,2.30948
5.83,2.31156,2.30177
5.84,2.31558,2.30071
5.85,2.3089,2.29652
5.86,2.30037,2.29641
5.87,2.29501,2.30166
5.88,2.30823,2.30257
5.89,2.31584,2.30103
5.9,2.30711,2.29313
5.91,2.30529,2.2991
5.92,2.30221,2.29378
5.93,2.31302,2.30028
5.94,2.31001,2.29991
5.95,2.31611,2.30012
5.96,2.31162,2.30398
5.97,2.30953,2.303
5.98,2.30597,2.30563
5.99,2.30878,2.30295
6.0,2.31363,2.3122
6.01,2.30898,2.30005
6.02,2.30718,2.29621
6.03,2.30939,2.29881
6.04,2.31923,2.29862
6.05,2.31971,2.29974
6.06,2.31485,2.30531
6.07,2.31361,2.3007
6.08,2.31702,2.3041
6.09,2.31245,2.30569
6.1,2.30673,2.3
6.11,2.31027,2.30109
6.12,2.31396,2.2989
6.13,2.31233,2.30065
6.14,2.31158,2.30169
6.15,2.32001,2.30191
6.16,2.31151,2.3132
6.17,2.31444,2.30528
6.18,2.32086,2.30003
6.19,2.31504,2.30247
6.2,2.317,2.30481
6.21,2.31868,2.31115
6.22,2.31187,2.30101
6.23,2.31715,2.29859
6.24,2.31505,2.30886
6.25,2.31134,2.30644
6.26,2.31861,2.29767
6.27,2.31863,2.29147
6.28,2.31804,2.3005
6.29,2.3138,2.29906
6.3,2.31484,2.30573
6.31,2.31071,2.30368
6.32,2.32006,2.30512
6.33,2.31926,2.29853
6.34,2.32283,2.29445
6.35,2.33443,2.3
6.36,2.32148,2.29997
6.37,2.31083,2.30283
6.38,2.30902,2.30211
6.39,2.3071,2.29784
6.4,2.31816,2.29851
6.41,2.31213,2.30301
6.42,2.32222,2.30043
6.43,2.32327,2.29749
6.44,2.31551,2.29494
6.45,2.31435,2.29163
6.46,2.31769,2.30082
6.47,2.3066,2.2833
6.48,2.30947,2.29428
6.49,2.31955,2.29721
6.5,2.31627,2.28292
6.51,2.31587,2.29507
6.52,2.32409,2.29381
6.53,2.32203,2.3007
6.54,2.31188,2.28516
6.55,2.30702,2.29409
6.56,2.30974,2.29512
6.57,2.30425,2.29992
6.58,2.30959,2.29198
6.59,2.31595,2.28117
6.6,2.30983,2.2938
6.61,2.31692,2.28605
6.62,2.30235,2.29157
6.63,2.31399,2.2964
6.64,2.30394,2.29531
6.65,2.30248,2.30537
6.66,2.30997,2.29248
6.67,2.30936,2.29876
6.68,2.30605,2.2977
6.69,2.3082,2.29662
6.7,2.30928,2.30326
6.71,2.30784,2.29037
6.72,2.30842,2.2921
6.73,2.31233,2.30931
6.74,2.31706,2.29514
6.75,2.3128,2.29964
6.76,2.32357,2.29876
6.77,2.31084,2.29676
6.78,2.32148,2.30171
6.79,2.31521,2.29937
6.8,2.31161,2.29563
6.81,2.31823,2.29969
6.82,2.30241,2.30513
6.83,2.30951,2.30024
6.84,2.31787,2.29726
6.85,2.32289,2.30398
6.86,2.31705,2.29665
6.87,2.31157,2.30347
6.88,2.3083,2.30465
6.89,2.30694,2.29354
6.9,2.30854,2.30158
6.91,2.313,2.29858
6.92,2.31209,2.29536
6.93,2.30626,2.30298
6.94,2.30911,2.30172
6.95,2.30224,2.30507
6.96,2.30275,2.30013
6.97,2.30218,2.29734
6.98,2.30688,2.30167
6.99,2.30057,2.30968
7.0,2.3066,2.30635
7.01,2.30549,2.30687
7.02,2.30315,2.3031
7.03,2.30929,2.30142
7.04,2.3028,2.30155
7.05,2.30466,2.30642
7.06,2.30166,2.30301
7.07,2.30403,2.3035
7.08,2.30645,2.30728
7.09,2.30259,2.30608
7.1,2.30145,2.30477
7.11,2.3043,2.31026
7.12,2.30956,2.30075
7.13,2.30979,2.31524
7.14,2.31152,2.3056
7.15,2.313,2.30183
7.16,2.30083,2.30161
7.17,2.30696,2.30462
7.18,2.30478,2.30662
7.19,2.30627,2.30795
7.2,2.31715,2.30167
7.21,2.31225,2.2965
7.22,2.30467,2.29858
7.23,2.30823,2.2966
7.24,2.29911,2.30031
7.25,2.30614,2.29689
7.26,2.29994,2.30044
7.27,2.30063,2.30131
7.28,2.30344,2.30322
7.29,2.30353,2.29353
7.3,2.31081,2.29774
7.31,2.31122,2.29513
7.32,2.30768,2.29989
7.33,2.30983,2.29187
7.34,2.30289,2.30526
7.35,2.30027,2.3121
7.36,2.31075,2.31477
7.37,2.31021,2.30676
7.38,2.30576,2.29997
7.39,2.30665,2.30236
7.4,2.31179,2.29697
7.41,2.30247,2.30112
7.42,2.31642,2.29835
7.43,2.30951,2.30227
7.44,2.31452,2.30277
7.45,2.32068,2.30471
7.46,2.30749,2.30409
7.47,2.31121,2.29531
7.48,2.31454,2.29667
7.49,2.31019,2.29396
7.5,2.31639,2.29651
7.51,2.30987,2.29485
7.52,2.31652,2.30153
7.53,2.30912,2.29492
7.54,2.30244,2.30127
7.55,2.31315,2.30274
7.56,2.30886,2.30343
7.57,2.30927,2.30441
7.58,2.30279,2.30462
7.59,2.30703,2.29625
7.6,2.30652,2.30248
7.61,2.30768,2.30547
7.62,2.30687,2.29488
7.63,2.30569,2.30837
7.64,2.30879,2.31041
7.65,2.31693,2.30293
7.66,2.31434,2.30333
7.67,2.3119,2.30171
7.68,2.31381,2.30856
7.69,2.30253,2.30118
7.7,2.30491,2.29841
7.71,2.31822,2.29651
7.72,2.31131,2.30035
7.73,2.31117,2.29786
7.74,2.31938,2.29866
7.75,2.32126,2.30327
7.76,2.31945,2.29312
7.77,2.31575,2.29842
7.78,2.32026,2.30394
7.79,2.32509,2.30649
7.8,2.32815,2.29915
7.81,2.3202,2.2953
7.82,2.31587,2.30272
