Time/Residue,VOR_R1.xvg,VOR_R2.xvg,Average
1.83,0.26735,0.1596098,0.2134799
1.84,0.2786197,0.1394241,0.2090219
1.8500001,0.2530436,0.1575482,0.2052959
1.8600001,0.2468902,0.1420032,0.1944467
1.8700001,0.2553397,0.1456684,0.20050405
1.8800001,0.2611508,0.1493241,0.20523745
1.8900001,0.2529886,0.1389616,0.1959751
1.9000001,0.2555884,0.1598049,0.20769665
1.9100001,0.2700551,0.1455597,0.2078074
1.9200001,0.2482689,0.1318296,0.19004925
1.9300001,0.2654338,0.1368276,0.2011307
1.9400001,0.2704884,0.1535334,0.2120109
1.95,0.2680063,0.1615198,0.21476305
1.96,0.2795907,0.1611633,0.220377
1.9700001,0.2647851,0.164284,0.21453455
1.9800001,0.2672475,0.1595316,0.21338955
1.9900001,0.2617941,0.1515574,0.20667575
2.0,0.2595988,0.1599665,0.20978265
2.01,0.2785766,0.1585873,0.21858195
2.02,0.2703393,0.1733348,0.22183705
2.0300002,0.2663914,0.1648038,0.2155976
2.0400002,0.2605967,0.1663487,0.2134727
2.0500002,0.2679902,0.1504775,0.20923385
2.0600002,0.2649652,0.1638283,0.21439675
2.0700002,0.2667641,0.1621317,0.2144479
2.0800002,0.270943,0.161103,0.216023
2.0900002,0.2713781,0.1537239,0.212551
2.1000001,0.2693588,0.1660557,0.21770725
2.1100001,0.27203,0.1704096,0.2212198
2.1200001,0.2658877,0.1500681,0.2079779
2.1300001,0.262518,0.1740001,0.21825905
2.1400001,0.2523782,0.1640077,0.20819295
2.1500001,0.2834724,0.1650037,0.22423805
2.1600001,0.2593547,0.172328,0.21584135
2.1700001,0.2806201,0.1650604,0.22284025
2.1800001,0.2739589,0.1629342,0.21844655
2.1900001,0.2532422,0.1519269,0.20258455
2.2,0.2917586,0.1449478,0.2183532
2.21,0.2752663,0.1485902,0.21192825
2.22,0.271808,0.1697919,0.22079995
2.23,0.2761629,0.1386082,0.20738555
2.24,0.2636808,0.138455,0.2010679
2.25,0.266043,0.1483477,0.20719535
2.26,0.2501799,0.1487226,0.19945125
2.2700002,0.2691191,0.1425877,0.2058534
2.2800002,0.2464445,0.1513717,0.1989081
2.2900002,0.2522901,0.1528111,0.2025506
2.3000002,0.2627203,0.1485994,0.20565985
2.3100002,0.2630088,0.1551969,0.20910285
2.3200002,0.262917,0.1325869,0.19775195
2.3300002,0.2805532,0.1539364,0.2172448
2.3400002,0.2594091,0.1539424,0.20667575
2.3500001,0.2725525,0.1455045,0.2090285
2.3600001,0.2655673,0.1389563,0.2022618
2.3700001,0.2896068,0.1498056,0.2197062
2.3800001,0.2659305,0.1360786,0.20100455
2.3900001,0.2835064,0.1339215,0.20871395
2.4000001,0.2921438,0.173929,0.2330364
2.4100001,0.2915415,0.1397398,0.21564065
2.4200001,0.2817712,0.1566054,0.2191883
2.4300001,0.2714893,0.1399337,0.2057115
2.4400001,0.2886542,0.1386893,0.21367175
2.45,0.270467,0.1373977,0.20393235
2.46,0.301518,0.1592171,0.23036755
2.47,0.2752338,0.1497704,0.2125021
2.48,0.2673909,0.1724842,0.21993755
2.49,0.2735251,0.1482834,0.21090425
2.5,0.2687403,0.1546283,0.2116843
2.5100002,0.2720009,0.1766322,0.22431655
2.5200002,0.2686507,0.1690559,0.2188533
2.5300002,0.2762997,0.1606982,0.21849895
2.5400002,0.2819292,0.1628575,0.22239335
2.5500002,0.27963,0.1683789,0.22400445
2.5600002,0.2794969,0.1687519,0.2241244
2.5700002,0.2722507,0.1561908,0.21422075
2.5800002,0.3040639,0.1689237,0.2364938
2.5900002,0.2762905,0.1570002,0.21664535
2.6000001,0.2977143,0.1621463,0.2299303
2.6100001,0.2672965,0.1406034,0.20394995
2.6200001,0.2564103,0.1433342,0.19987225
2.6300001,0.2655317,0.1677512,0.21664145
2.6400001,0.2843776,0.1404079,0.21239275
2.6500001,0.2667247,0.1601437,0.2134342
2.6600001,0.2757013,0.1459064,0.21080385
2.6700001,0.2790211,0.1606307,0.2198259
2.6800001,0.285814,0.1463582,0.2160861
2.6900001,0.2663904,0.1573876,0.211889
2.7,0.279653,0.1751468,0.2273999
2.71,0.2703018,0.1414308,0.2058663
2.72,0.2608378,0.1509582,0.205898
2.73,0.2664071,0.1471321,0.2067696
2.7400002,0.2641353,0.1657974,0.21496635
2.7500002,0.2584676,0.1625539,0.21051075
2.7600002,0.2596425,0.1614596,0.21055105
2.7700002,0.2819909,0.1538358,0.21791335
2.7800002,0.2742488,0.1489179,0.21158335
2.7900002,0.3039983,0.1545272,0.22926275
2.8000002,0.3177905,0.1567525,0.2372715
2.8100002,0.3002768,0.1624212,0.231349
2.8200002,0.3137213,0.1688216,0.24127145
2.8300002,0.2918929,0.1549298,0.22341135
2.8400002,0.2797826,0.1636068,0.2216947
2.8500001,0.2602896,0.1689292,0.2146094
2.8600001,0.2900317,0.1579275,0.2239796
2.8700001,0.2768748,0.151635,0.2142549
2.8800001,0.2529337,0.160662,0.20679785
2.8900001,0.2444704,0.1598278,0.2021491
2.9000001,0.2513391,0.1504498,0.20089445
2.9100001,0.2355108,0.1668262,0.2011685
2.9200001,0.2539491,0.1437652,0.19885715
2.9300001,0.2458848,0.1529751,0.19942995
2.9400001,0.2599801,0.1417369,0.2008585
2.95,0.2624874,0.1507435,0.20661545
2.96,0.2548157,0.1665715,0.2106936
2.97,0.2533311,0.140855,0.19709305
2.9800003,0.2621208,0.1495472,0.205834
2.9900002,0.2941813,0.1466591,0.2204202
3.0000002,0.2521108,0.1550126,0.2035617
3.0100002,0.2572649,0.1492963,0.2032806
3.0200002,0.2528847,0.1555018,0.20419325
3.0300002,0.2736419,0.1361558,0.20489885
3.0400002,0.2706154,0.1505437,0.21057955
3.0500002,0.2486423,0.151456,0.20004915
3.0600002,0.2419951,0.1415268,0.19176095
3.0700002,0.2374997,0.1483625,0.1929311
3.0800002,0.2670994,0.1481992,0.2076493
3.0900002,0.2620524,0.1589479,0.21050015
3.1000001,0.2723012,0.137853,0.2050771
3.1100001,0.2406269,0.1525503,0.1965886
3.1200001,0.2456701,0.1461725,0.1959213
3.1300001,0.2567286,0.16438,0.2105543
3.1400001,0.2281773,0.1541487,0.191163
3.1500001,0.2509201,0.1528469,0.2018835
3.1600001,0.2519529,0.1490655,0.2005092
3.1700001,0.2644822,0.1495853,0.20703375
3.1800001,0.2687144,0.1301325,0.19942345
3.1900001,0.2497814,0.168135,0.2089582
3.2,0.2619793,0.1389882,0.20048375
3.21,0.2696631,0.139647,0.20465505
3.2200003,0.2491995,0.134351,0.19177525
3.2300003,0.2701412,0.1327498,0.2014455
3.2400002,0.2909892,0.1341975,0.21259335
3.2500002,0.2530959,0.1434486,0.19827225
3.2600002,0.2554692,0.1283563,0.19191275
3.2700002,0.2903504,0.1151361,0.20274325
3.2800002,0.2779408,0.1262276,0.2020842
3.2900002,0.2675608,0.1297701,0.19866545
3.3000002,0.260987,0.1382394,0.1996132
3.3100002,0.2610589,0.1371874,0.19912315
3.3200002,0.2701124,0.1419166,0.2060145
3.3300002,0.2645906,0.1398708,0.2022307
3.3400002,0.2630654,0.1380739,0.20056965
3.3500001,0.3022939,0.1384735,0.2203837
3.3600001,0.2602037,0.1286767,0.1944402
3.3700001,0.2793963,0.1352951,0.2073457
3.3800001,0.2722107,0.1311774,0.20169405
3.3900001,0.2671592,0.1379946,0.2025769
3.4000001,0.2734921,0.1402986,0.20689535
3.4100001,0.2637511,0.1549796,0.20936535
3.4200001,0.2792334,0.1323034,0.2057684
3.4300001,0.2917433,0.1495561,0.2206497
3.4400001,0.2802782,0.1428179,0.21154805
3.45,0.2549514,0.1318244,0.1933879
3.4600003,0.2679349,0.1419176,0.20492625
3.4700003,0.2794844,0.1375179,0.20850115
3.4800003,0.2570944,0.1245498,0.1908221
3.4900002,0.2687928,0.136475,0.2026339
3.5000002,0.2903241,0.1297543,0.2100392
3.5100002,0.2625193,0.1346436,0.19858145
3.5200002,0.271621,0.1235197,0.19757035
3.5300002,0.2652422,0.1232984,0.1942703
3.5400002,0.2740569,0.1262118,0.20013435
3.5500002,0.2879049,0.1192084,0.20355665
3.5600002,0.2740302,0.1450584,0.2095443
3.5700002,0.2623031,0.135349,0.19882605
3.5800002,0.2635014,0.1262109,0.19485615
3.5900002,0.2747831,0.1319485,0.2033658
3.6000001,0.2749576,0.122678,0.1988178
3.6100001,0.2782641,0.135484,0.20687405
3.6200001,0.27634,0.1305577,0.20344885
3.6300001,0.2778078,0.1391878,0.2084978
3.6400001,0.2765606,0.1268571,0.20170885
3.6500001,0.2847061,0.1379626,0.21133435
3.6600001,0.264822,0.1397857,0.20230385
3.6700001,0.2757584,0.1407002,0.2082293
3.6800001,0.2688486,0.1294746,0.1991616
3.6900001,0.2660225,0.1389351,0.2024788
3.7000003,0.2755739,0.1409525,0.2082632
3.7100003,0.2807478,0.1413915,0.21106965
3.7200003,0.2702737,0.1396567,0.2049652
3.7300003,0.2799483,0.1301899,0.2050691
3.7400002,0.2700436,0.1322109,0.20112725
3.7500002,0.2678476,0.1247547,0.19630115
3.7600002,0.2884324,0.1370492,0.2127408
3.7700002,0.2578909,0.1292673,0.1935791
3.7800002,0.27634,0.1424259,0.20938295
3.7900002,0.2866309,0.1272091,0.20692
3.8000002,0.2647516,0.1298075,0.19727955
3.8100002,0.2794399,0.1348248,0.20713235
3.8200002,0.2687433,0.1307994,0.19977135
3.8300002,0.2541538,0.1246483,0.18940105
3.8400002,0.2704237,0.1224422,0.19643295
3.8500001,0.2690164,0.1243123,0.19666435
3.8600001,0.2768252,0.14251,0.2096676
3.8700001,0.2698387,0.1355447,0.2026917
3.8800001,0.2755839,0.1480895,0.2118367
3.8900001,0.2811259,0.1338854,0.20750565
3.9000001,0.2816963,0.1329959,0.2073461
3.9100001,0.2771489,0.124199,0.20067395
3.9200001,0.272996,0.1287158,0.2008559
3.9300003,0.2658818,0.1296901,0.19778595
3.9400003,0.248605,0.1244232,0.1865141
3.9500003,0.2531785,0.132709,0.19294375
3.9600003,0.2625452,0.1411502,0.2018477
3.9700003,0.2469546,0.1251735,0.18606405
3.9800003,0.2568034,0.1424602,0.1996318
3.9900002,0.2679828,0.1352908,0.2016368
4.0,0.2628449,0.1286565,0.1957507
4.0100002,0.2587413,0.1279,0.19332065
4.02,0.267455,0.1216342,0.1945446
4.0300002,0.2456512,0.1240127,0.18483195
4.04,0.2622853,0.1264551,0.1943702
4.0500002,0.2694477,0.1450813,0.2072645
4.0600004,0.2618029,0.1401969,0.2009999
4.0700002,0.2481477,0.1227578,0.18545275
4.0800004,0.2544068,0.1305734,0.1924901
4.0900002,0.272228,0.1324632,0.2023456
4.1000004,0.263214,0.1438593,0.20353665
4.1100001,0.2585725,0.1309028,0.19473765
4.1200004,0.2871485,0.1318972,0.20952285
