FOLDER,LIGAND_ENTRY,TOTAL_SCORE,smiles
file12,A3469_entry_00015_conf_01,-116.302,C[C@@H](N1CCN(C(=O)C2CCCC2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
file3,A702_entry_00074_conf_01,-116.283,Cc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(F)cc2Cl)cc1
file18,A5583_entry_00245_conf_01,-116.179,Nc1ncccc1c1cc(Cc2ccc(CN3CCCCCC3)cc2)no1
file13,A3769_entry_00001_conf_01,-116.142,C[C@@H](N1CCN(Cc2ccoc2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
file11,A3307_entry_00167_conf_01,-116.132,Fc1ccc(CC[C@@H](Cn2ccnc2)Sc2ccccc2F)cc1
file18,A5579_entry_00241_conf_01,-116.016,Nc1ncccc1c1cc(Cc2ccc(CN3CC[C@H](O)C3)cc2)no1
file11,A3319_entry_00179_conf_01,-115.979,Fc1ccc(CC[C@@H](Cn2ccnc2)Sc2ccc(F)cc2)cc1
file9,A2569_entry_00057_conf_01,-115.976,CN(CCc1ccccc1)Cc1cccc2ccccc12
file18,A5588_entry_00250_conf_01,-115.971,CN(CCO)Cc1ccc(Cc2cc(c3cccnc3N)on2)cc1
file11,A3206_entry_00066_conf_01,-115.968,CN(Cc1ccc2ccccc2c1)Cc1ccccc1CO
file15,A4532_entry_00136_conf_01,-115.936,Cc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(F)cc2F)c(F)c1
file18,A5578_entry_00240_conf_01,-115.917,CCN1CCN(Cc2ccc(Cc3cc(c4cccnc4N)on3)cc2)CC1
file18,A5587_entry_00249_conf_01,-115.891,Nc1ncccc1c1cc(Cc2ccc(CN3C[C@H](O)[C@@H](O)C3)cc2)no1
file4,A943_entry_00001_conf_01,-115.89,CCC(C)(C)c1ccc(C[C@H]2CCN(CCN3C[C@@H](C)O[C@@H](C)C3)CC2)cc1
file11,A3204_entry_00064_conf_01,-115.769,CC(C)N(Cc1ccc(C(=O)O)cc1)Cc1cccc2ccccc12
file9,A2594_entry_00082_conf_01,-115.728,CN(Cc1cccc2ccccc12)C[C@H](O)Cc1ccccc1
file8,A2471_entry_00273_conf_01,-115.679,CN(CCCc1cccc2ccccc12)Cc1ccccc1
file5,A1262_entry_00006_conf_01,-115.661,C[C@@H]1CN(CCCO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)CCN1
file10,A3129_entry_00303_conf_01,-115.66,Fc1ccc(CS[C@@H](Cn2ccnc2)c2ccc(F)cc2)cc1
file18,A5582_entry_00244_conf_01,-115.62,CC(C)N1CCN(Cc2ccc(Cc3cc(c4cccnc4N)on3)cc2)CC1
file15,A4700_entry_00304_conf_01,-115.457,C[C@H](O)CC/C=C/CN(C)Cc1cccc2ccccc12
file3,A708_entry_00080_conf_01,-115.436,COc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(C)cc2Cl)cc1
file9,A2591_entry_00079_conf_01,-115.34,CN(CCC#Cc1cccc2ccccc12)Cc1ccccc1
