SN,Molecule,Binding energy (kcal/mol),SMILES,
217,A3712,-111.754,C[C@@H](N1CCCc2nc(C3CC3)oc2C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
218,A4450,-111.752,O[C@@](CN1CCN(Cc2ccccn2)CC1)(Cn1cncn1)c1ccc(F)cc1F,
219,A3612,-111.746,C[C@H](N1CCc2cc(Cl)ccc2C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
220,A3102,-111.722,Fc1ccc([C@@H](Cn2ccnc2)OCc2cc(F)ccc2Cl)cc1,
221,A6053,-111.706,CC(C)Sc1ccc([C@@H](O)[C@@H](C)NCCCc2ccccc2)cc1,
222,A4134,-111.666,Cc1nn([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)c2c1CCCC2,
223,A3397,-111.662,c1ccc(Cn2ccc([C@H](c3ccccc3)n3ccnc3)c2)cc1,
224,A266,-111.648,Fc1ccc([C@H](Cn2ccnc2)OCc2ccccc2Cl)cc1,
225,A12,-111.627,O=C(Oc1ccc2c(c1)[C@@H]1CC[C@H]2C1)N(c1ccccc1)C(CO)CO,
226,A4440,-111.609,O[C@](CNCCc1ccccc1)(Cn1cncn1)c1ccc(F)cc1F,
227,A3379,-111.540,Fc1cccc(F)c1O[C@H](CCc1ccc(Cl)cc1)Cn1ccnc1,
228,A1453,-111.532,CCOC(=O)c1cncn1[C@@H]1C[C@@]2(O)Cc3ccccc3[C@@H]1C2,
229,A1869,-111.521,CC(C)[C@H](Oc1ccc(Cl)cc1Cl)C(=O)[C@@](O)(Cn1ccnc1)c1ccccc1,
230,A324,-111.504,COc1ccc([C@@H](Cn2ccnc2)OCc2ccc(Cl)cc2F)cc1,
231,A1639,-111.489,CC(C)N(CCCN)CCOC(=O)c1cc(c2ccccc2)ccc1O,
232,A361,-111.397,OCc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2)cc1,
233,A3189,-111.394,CN(Cc1ccc(C(F)(F)F)cc1)Cc1cccc2cc[nH]c12,
234,A3198,-111.382,CN(Cc1ccc(C(F)(F)F)cc1)Cc1cccc2[nH]ccc12,
235,A2639,-111.321,Cc1ccc(CO[C@@H](CCn2ccnc2)c2ccc(F)cc2F)cc1,
236,A1559,-111.298,CC(C)Cc1ccc(CN2CN(Cc3ccccc3)CSC2=O)cc1,
237,A3114,-111.290,Cc1ccc(CO[C@H](Cn2ccnc2)c2ccc(F)cc2Cl)cc1,
238,A3109,-111.171,Cc1ccc(C(=O)CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2)cc1,
239,A3659,-111.159,C[C@@H](N1CCN(Cc2nccs2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
240,A1742,-111.138,O=C([C@@H](Cn1ccnc1)Oc1ccc(Cl)cc1Cl)N1CCCCC1,
241,A4606,-111.105,NC(c1ccccc1)(c1ccccc1)c1cncn1Cc1ccccc1,
242,A3626,-111.091,C[C@@H](N1CCC(=O)CC1)[C@](O)(Cn1ccnn1)c1ccc(F)cc1F,
243,A3135,-111.005,Cc1ccc(CS[C@@H](Cn2ccnc2)c2ccccc2)cc1,
244,A6115,-111.002,CC(C)Sc1ccc([C@H](O)[C@H](C)NCCCc2ccccc2)cc1,
245,A3361,-111.001,Clc1ccc(CC[C@@H](Cn2ccnc2)Oc2ccccc2)cc1,
246,A3120,-110.993,Cc1ccc([C@@H](Cn2ccnc2)OCc2ccc(F)cc2)c(Cl)c1,
247,A372,-110.974,CC(=O)c1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2)cc1,
248,A1398,-110.972,CCOC(=O)c1cncn1[C@H]1CC[C@H](OCc2ccccc2)c2ccccc12,
249,A2490,-110.909,CN(C/C=C/c1ccccc1)Cc1cccc2c1CCC2,
250,A2589,-110.905,CN(Cc1ccccn1)Cc1cccc2ccccc12,
251,A3494,-110.884,C[C@@H](N1CCN(Cc2ccc(C#N)cc2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
252,A1721,-110.882,CCN(CC)CC[C@H](C)OC(=O)c1cccc2ccccc12,
253,A268,-110.872,Fc1ccccc1CO[C@H](Cn1ccnc1)c1ccc(Cl)cc1,
254,A2008,-110.855,Fc1ccc(CO[C@H]2c3cc(F)ccc3SC[C@@H]2Cn2ccnc2)c(F)c1,
255,A2083,-110.855,CCc1cn(C[C@@H](O[C@H](C)Cn2ccnc2)c2ccc(Cl)cc2Cl)cn1,
