ÿchembl_id,SMILES
CHEMBL2105689,n1(ccnc1)/C(=C\1/S[C@@H](CS1)c1c(cc(cc1)Cl)Cl)/C#N
CHEMBL1262,C(=N\OCc1c(cc(cc1)Cl)Cl)(/c1c(cc(cc1)Cl)Cl)\Cn1cncc1
CHEMBL2103877,Fc1cc(c(cc1)[C@@](Cn1cncn1)([C@@H](C)N1CCC(=C)CC1)O)F
CHEMBL1413,n1(c(cc(cc1=O)C)C1CCCCC1)O
CHEMBL324846,C(=O)(O)CCCCCCC
CHEMBL298817,[C@](c1c(cc(cc1)F)F)([C@H](n1c(=O)c2c(nc1)cc(cc2)Cl)C)(Cn1ncnc1)O
CHEMBL607710,C(=O)(OCC(COc1ccc(Cl)cc1)O)N
CHEMBL1221,c1(c(cc(cc1)Cl)Cl)C(SCc1ccc(Cl)cc1)Cn1cncc1
CHEMBL1200725,Clc1c2scc(c2ccc1)CO[C@H](c1c(Cl)cc(Cl)cc1)Cn1cncc1
CHEMBL638,[C@](c1c(cc(cc1)F)F)([C@H](c1c(F)cncn1)C)(Cn1ncnc1)O
CHEMBL1200438,c1(c(scc1)Cl)COC(c1c(cc(cc1)Cl)Cl)Cn1cncc1
CHEMBL1289,C(#CI)COc1cc(c(cc1Cl)Cl)Cl
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL91,c1(c(cc(cc1)Cl)Cl)[C@H](Cn1cncc1)OCc1c(cc(cc1)Cl)Cl
CHEMBL424,c1(C(=O)O)c(O)cccc1
CHEMBL83668,C(=S)(N(c1cc(ccc1)C)C)Oc1cc2c(cc1)cccc2
CHEMBL1200725,s1c2c(c(c1)COC(c1c(cc(cc1)Cl)Cl)Cn1cncc1)cccc2Cl
CHEMBL104,C(n1cncc1)(c1c(Cl)cccc1)(c1ccccc1)c1ccccc1
CHEMBL541,C(=O)([O-])c1ccccc1
CHEMBL270271,C1(OCC(O1)CC)(Cn1cncn1)c1c(cc(cc1)Cl)Cl
CHEMBL91,c1(c(cc(cc1)Cl)Cl)C(Cn1cncc1)OCc1c(cc(cc1)Cl)Cl
CHEMBL443052,c12c(ccc(c1)F)B(OC2)O
CHEMBL822,C(#CC(C)(C)C)/C=C/CN(Cc1c2c(ccc1)cccc2)C
