Time/Residue,AFR2_R1.xvg,AFR2_R2.xvg
3.8800001,0.2145332,0.1791071
3.8900001,0.2302663,0.1844779
3.9000001,0.2233353,0.1834425
3.9100001,0.2273033,0.1661409
3.9200001,0.2177006,0.1628364
3.9300003,0.2240008,0.1592369
3.9400003,0.2225483,0.1631957
3.9500003,0.2144646,0.1659881
3.9600003,0.2236525,0.1814998
3.9700003,0.2140118,0.1814924
3.9800003,0.2156598,0.1748445
3.9900002,0.2235024,0.1704695
4.0,0.2165344,0.1789949
4.0100002,0.218336,0.1708661
4.02,0.2296831,0.1881102
4.0300002,0.2268006,0.1991161
4.04,0.2196253,0.188643
4.0500002,0.2147379,0.1853697
4.0600004,0.2126177,0.1773079
4.0700002,0.1960887,0.1742033
4.0800004,0.2045113,0.1838989
4.0900002,0.1995697,0.1752933
4.1000004,0.2058413,0.1748201
4.1100001,0.2050641,0.1590209
4.1200004,0.2072274,0.1743863
4.1300001,0.2008155,0.1633789
4.1400003,0.1925632,0.1638725
4.1500001,0.1980072,0.1715902
4.1600003,0.1938473,0.1723241
4.1700001,0.1935595,0.1720359
4.1800003,0.1922617,0.177313
4.1900001,0.1930435,0.1859383
4.2000003,0.2071014,0.1869517
4.21,0.1917109,0.1818655
4.2200003,0.2075144,0.1776593
4.23,0.2039944,0.1687675
4.2400002,0.2043303,0.1750298
4.25,0.1850805,0.1873011
4.2600002,0.1912804,0.1794382
4.27,0.2014834,0.1805742
4.2800002,0.1949875,0.1844866
4.2900004,0.2019596,0.1731536
4.3000002,0.2022385,0.1758036
4.3100004,0.2035351,0.1799756
4.3200002,0.1982337,0.1808719
4.3300004,0.194608,0.1853146
4.3400002,0.2107336,0.1815017
4.3500004,0.2027393,0.1841068
4.3600001,0.2000331,0.1813717
4.3700004,0.2213912,0.184291
4.3800001,0.208944,0.1884163
4.3900003,0.2151746,0.1924907
4.4000001,0.2220184,0.1868696
4.4100003,0.2092054,0.1948602
4.4200001,0.2266524,0.1942148
4.4300003,0.2233473,0.2029918
4.4400001,0.2167396,0.2125164
4.4500003,0.2174051,0.2031298
4.46,0.2087858,0.2031252
4.4700003,0.2049409,0.1972057
4.48,0.2120224,0.2153986
4.4900002,0.2053279,0.2097847
4.5,0.2135253,0.20867
4.5100002,0.2192983,0.196769
4.52,0.2150756,0.1917815
4.5300002,0.2064745,0.1820603
4.5400004,0.2165833,0.1929701
4.5500002,0.220521,0.1968719
4.5600004,0.220429,0.1864659
4.5700002,0.20444,0.1870916
4.5800004,0.205044,0.2011033
