GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1266,1566.55,3847.95,4603.66,447.3,250.35,-56.84,-3457.33,-27990.25,1512.57,17811.53,-5360.13,185.11,-1464.52,-5175.01,-6639.53
1271,1641.44,3832.14,4572.67,445.54,238.07,-55.01,-3453.06,-28091.82,1483.22,17843.72,-5227.07,181.71,-1543.08,-5045.36,-6588.44
1276,1638.01,3842.33,4622.86,441.55,254.26,-91.98,-3494.25,-27994.78,1514.27,17890.01,-5325.89,181.4,-1377.72,-5144.49,-6522.21
1281,1605.45,3865.17,4569.97,433.07,239.83,-56.95,-3428.97,-28068.34,1523.41,17970.22,-5366.86,184.67,-1347.15,-5182.19,-6529.33
1286,1569.35,3859.2,4618.24,441.82,239.92,-31.84,-3452.83,-28160.43,1472.39,17936.07,-5238.8,182.17,-1508.1,-5056.63,-6564.73
1291,1602.7,3901.19,4614.95,437.25,239.07,-59.71,-3490.94,-28116.04,1482.84,17981.64,-5320.9,183.37,-1407.04,-5137.54,-6544.58
1296,1628.71,3907.57,4604.91,443.76,249.04,-62.35,-3458.36,-28102.07,1473.1,17981.13,-5332.82,180.93,-1334.55,-5151.89,-6486.44
1301,1588.86,3822.8,4624.45,448.75,241.21,-43.64,-3464.92,-28089.84,1528.39,17871.5,-5282.39,178.97,-1472.45,-5103.42,-6575.87
1306,1587.25,3940.42,4606.41,433.91,255.93,-60.76,-3407.91,-28110.54,1498.49,17982.01,-5341.26,178.58,-1274.77,-5162.68,-6437.45
1311,1575.59,3831.9,4597.83,447.27,238.23,-68.41,-3458.94,-28088.63,1503.16,17944.16,-5358.67,182.57,-1477.84,-5176.1,-6653.94
1316,1600.82,3792.62,4586.73,448.45,236.3,-67.38,-3440.68,-28114.62,1520.52,17998.53,-5309.91,182.85,-1438.72,-5127.06,-6565.78
1321,1613.52,3964.28,4601.99,453.68,238.77,-68.58,-3455.01,-28116.5,1489.22,17916.55,-5302.39,182.17,-1362.08,-5120.22,-6482.3
1326,1635.41,3968.5,4617.59,454.66,232.77,-55.81,-3444.43,-28046.78,1493.32,17905.77,-5342.7,182.07,-1238.99,-5160.62,-6399.61
1331,1573.12,3935.78,4624.57,436.62,255.31,-77.05,-3466.0,-28162.32,1512.77,17950.61,-5265.62,182.21,-1416.59,-5083.42,-6500.01
1336,1579.41,3813.61,4577.16,439.53,234.35,-89.57,-3447.77,-28183.09,1467.75,18014.4,-5259.55,183.81,-1594.23,-5075.73,-6669.96
1341,1629.1,3854.12,4621.46,430.83,247.79,-60.02,-3480.34,-28150.91,1500.13,17894.06,-5203.7,182.29,-1513.78,-5021.41,-6535.19
1346,1620.07,3834.52,4588.27,438.12,231.63,-57.28,-3470.63,-28103.4,1475.69,17947.87,-5307.25,184.0,-1495.13,-5123.25,-6618.38
1351,1636.35,3910.22,4650.6,460.42,236.0,-65.18,-3424.17,-28143.46,1504.51,17975.0,-5324.05,183.07,-1259.73,-5140.98,-6400.71
1356,1604.97,3921.72,4620.93,441.13,236.02,-40.61,-3477.52,-28127.99,1463.02,18000.52,-5342.88,185.99,-1357.81,-5156.89,-6514.7
1361,1622.44,3918.25,4623.72,456.28,230.67,-49.38,-3509.22,-28001.46,1500.21,18013.18,-5386.16,183.47,-1195.32,-5202.69,-6398.0
1366,1611.08,3861.4,4571.79,456.8,219.98,-75.43,-3442.05,-28107.31,1512.19,17924.59,-5332.54,183.68,-1466.97,-5148.86,-6615.83
1371,1577.35,3857.81,4618.33,441.55,245.73,-64.32,-3441.48,-28210.1,1525.17,18050.53,-5317.87,181.29,-1399.44,-5136.58,-6536.02
1376,1611.52,3896.08,4636.84,448.45,242.84,-77.26,-3416.54,-28289.48,1522.32,18025.88,-5225.39,181.87,-1399.35,-5043.52,-6442.87
1381,1608.69,4002.23,4593.91,461.4,241.04,-57.59,-3485.78,-28269.32,1480.05,17949.5,-5192.71,185.04,-1475.88,-5007.67,-6483.55
1386,1606.09,3865.65,4615.39,439.64,264.95,-63.95,-3463.51,-28212.57,1520.18,17886.04,-5243.95,180.43,-1542.09,-5063.52,-6605.62
1391,1592.76,3871.5,4587.43,437.27,236.19,-54.65,-3444.77,-28339.68,1491.1,18047.1,-5188.39,178.14,-1575.76,-5010.25,-6586.01
1396,1568.92,3880.37,4609.49,452.93,224.9,-84.49,-3480.7,-28215.54,1491.14,17979.78,-5228.46,182.72,-1573.21,-5045.74,-6618.95
1401,1588.75,3930.39,4614.05,436.21,242.62,-79.88,-3445.52,-28115.54,1489.44,17910.39,-5257.4,182.73,-1429.08,-5074.67,-6503.75
1406,1525.44,3960.72,4626.49,439.67,243.52,-49.41,-3429.45,-28205.82,1547.06,17911.16,-5190.23,182.08,-1430.62,-5008.14,-6438.76
1411,1637.64,3896.12,4625.71,470.81,245.08,-74.15,-3440.11,-28117.94,1518.56,17846.06,-5236.28,181.58,-1392.21,-5054.69,-6446.9
1416,1572.75,3834.39,4596.63,440.44,233.89,-55.72,-3502.18,-28166.91,1505.17,18012.31,-5250.47,181.59,-1529.24,-5068.88,-6598.12
1421,1595.65,3889.13,4594.79,456.15,220.24,-43.9,-3452.48,-28298.79,1502.38,17958.47,-5176.64,184.04,-1578.39,-4992.6,-6570.99
1426,1606.35,3953.13,4645.26,452.85,237.93,-60.38,-3418.32,-28372.64,1496.61,17794.21,-5031.78,181.86,-1665.0,-4849.92,-6514.92
1431,1630.73,3893.43,4616.09,441.32,235.22,-44.89,-3452.45,-28328.35,1481.88,18012.1,-5147.43,182.12,-1514.93,-4965.32,-6480.24
1436,1518.1,3830.39,4584.15,441.89,249.28,-57.67,-3422.98,-28382.16,1528.57,18063.04,-5166.89,180.65,-1647.39,-4986.25,-6633.63
1441,1577.33,3884.32,4611.62,454.7,243.72,-7.74,-3416.38,-28492.04,1526.5,18079.03,-5074.72,181.09,-1538.93,-4893.63,-6432.56
1446,1619.64,3796.83,4624.25,442.34,244.58,-36.26,-3391.01,-28341.9,1524.21,17973.42,-5148.52,181.92,-1543.9,-4966.59,-6510.49
1451,1542.72,3854.71,4638.55,442.89,240.19,-54.72,-3464.58,-28349.25,1491.13,18002.61,-5121.55,181.43,-1655.75,-4940.12,-6595.88
1456,1612.42,3881.41,4626.62,436.95,238.49,-43.83,-3429.6,-28280.64,1496.12,17901.79,-5146.72,180.7,-1560.28,-4966.03,-6526.3
1461,1624.2,3816.54,4623.28,450.49,226.21,-58.03,-3492.81,-28160.08,1529.29,17911.84,-5228.78,183.03,-1529.07,-5045.76,-6574.83
1466,1622.1,3805.95,4639.52,442.09,239.15,-40.52,-3462.35,-28193.48,1520.48,18002.51,-5225.34,176.73,-1424.54,-5048.62,-6473.16
1471,1631.93,3856.54,4588.83,432.22,249.24,-70.81,-3447.07,-28255.69,1502.5,17884.24,-5121.23,177.49,-1628.07,-4943.74,-6571.81
1476,1630.59,3900.72,4602.88,458.82,208.95,-8.58,-3476.24,-28177.25,1524.44,17850.67,-5185.65,176.68,-1484.99,-5008.97,-6493.96
1481,1570.51,3815.25,4610.72,442.45,254.07,-32.98,-3455.44,-28395.07,1520.13,17998.17,-5092.18,177.34,-1672.19,-4914.84,-6587.04
1486,1607.45,3933.83,4608.21,440.37,250.97,-53.06,-3473.58,-28234.96,1511.96,17866.89,-5173.97,177.65,-1541.92,-4996.31,-6538.24
1491,1602.13,3961.52,4609.3,463.31,227.2,-44.93,-3468.33,-28063.71,1501.95,17888.05,-5307.0,180.02,-1323.52,-5126.99,-6450.51
1496,1603.98,3894.57,4628.17,452.12,241.22,-39.2,-3492.17,-28047.87,1491.45,17886.64,-5301.67,179.81,-1381.09,-5121.86,-6502.95
1501,1586.22,3894.9,4624.4,455.45,262.8,-46.33,-3490.43,-28001.55,1526.02,17913.48,-5394.24,181.46,-1275.04,-5212.78,-6487.83
1506,1598.06,3883.65,4651.46,439.53,243.59,-66.56,-3409.01,-28274.03,1509.27,17905.26,-5155.68,180.87,-1518.78,-4974.81,-6493.59
1511,1583.56,3885.42,4588.44,458.07,227.4,-48.01,-3479.78,-28251.85,1516.86,17972.88,-5190.68,179.88,-1547.0,-5010.8,-6557.79
1516,1565.25,3933.76,4626.25,446.49,251.14,-79.67,-3510.36,-28220.12,1499.02,17931.24,-5137.92,175.68,-1556.99,-4962.24,-6519.24
1521,1593.18,4013.0,4600.29,451.38,233.78,-59.37,-3442.55,-28097.49,1504.02,17804.7,-5188.76,181.17,-1399.06,-5007.58,-6406.64
1526,1583.21,3913.82,4600.42,443.83,240.83,-51.07,-3438.41,-28143.69,1481.63,17901.27,-5250.99,180.3,-1468.17,-5070.69,-6538.87
1531,1553.85,3894.03,4623.25,444.59,236.63,-71.9,-3475.69,-28294.23,1534.56,17949.97,-5112.55,179.36,-1604.93,-4933.19,-6538.12
