Time/Residue,VOR_R1.xvg,VOR_R2.xvg,Average
2.02,0.1794321,0.1587482,0.16909015
2.0300002,0.181018,0.1593131,0.17016555
2.0400002,0.1756561,0.1428884,0.15927225
2.0500002,0.1900147,0.1621546,0.17608465
2.0600002,0.1823864,0.1548749,0.16863065
2.0700002,0.1780563,0.1711165,0.1745864
2.0800002,0.1818346,0.1524646,0.1671496
2.0900002,0.1714042,0.1598087,0.16560645
2.1000001,0.1731832,0.151248,0.1622156
2.1100001,0.1828435,0.153648,0.16824575
2.1200001,0.1730742,0.1542294,0.1636518
2.1300001,0.1717026,0.1465089,0.15910575
2.1400001,0.1736263,0.1437745,0.1587004
2.1500001,0.1785112,0.158003,0.1682571
2.1600001,0.1834073,0.1550482,0.16922775
2.1700001,0.1758756,0.1543774,0.1651265
2.1800001,0.1782724,0.1470276,0.16265
2.1900001,0.1831521,0.160019,0.17158555
2.2,0.1768559,0.145041,0.16094845
2.21,0.166516,0.1442801,0.15539805
2.22,0.1653371,0.1442722,0.15480465
2.23,0.1711766,0.1470612,0.1591189
2.24,0.1668361,0.1561496,0.16149285
2.25,0.1714122,0.1568588,0.1641355
2.26,0.1714021,0.1562617,0.1638319
2.2700002,0.1746383,0.163646,0.16914215
2.2800002,0.1890729,0.1585106,0.17379175
2.2900002,0.1844414,0.1663732,0.1754073
2.3000002,0.1757322,0.1656785,0.17070535
2.3100002,0.1734935,0.1585533,0.1660234
2.3200002,0.1684952,0.1620367,0.16526595
2.3300002,0.171923,0.156966,0.1644445
2.3400002,0.1639737,0.1554517,0.1597127
2.3500001,0.1640362,0.1477177,0.15587695
2.3600001,0.1698935,0.157898,0.16389575
2.3700001,0.1712977,0.1461004,0.15869905
2.3800001,0.1631653,0.1456373,0.1544013
2.3900001,0.1756842,0.1475956,0.1616399
2.4000001,0.1741475,0.1578822,0.16601485
2.4100001,0.1657429,0.1559953,0.1608691
2.4200001,0.1631295,0.151987,0.15755825
2.4300001,0.1804174,0.1460167,0.16321705
2.4400001,0.1721117,0.1463049,0.1592083
2.45,0.179051,0.14424,0.1616455
2.46,0.1677669,0.1490325,0.1583997
2.47,0.1745983,0.1441189,0.1593586
2.48,0.1718571,0.1571157,0.1644864
2.49,0.1716444,0.1496594,0.1606519
2.5,0.167739,0.1505782,0.1591586
2.5100002,0.1751875,0.1576807,0.1664341
2.5200002,0.1743212,0.1598047,0.16706295
2.5300002,0.1770688,0.1592794,0.1681741
2.5400002,0.1721148,0.1632542,0.1676845
2.5500002,0.1786547,0.1679765,0.1733156
2.5600002,0.1755745,0.1532447,0.1644096
2.5700002,0.1749915,0.1552944,0.16514295
2.5800002,0.1771932,0.1579865,0.16758985
2.5900002,0.1847948,0.1560064,0.1704006
2.6000001,0.1706235,0.1593626,0.16499305
