GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1011,1573.75,3886.04,4590.94,442.78,250.4,-61.96,-3426.53,-28282.69,1526.32,18019.7,-5309.7,186.32,-1481.25,-5123.38,-6604.63
1016,1594.22,3951.83,4587.24,449.52,251.18,-70.28,-3400.31,-28252.43,1489.15,17892.84,-5274.19,185.03,-1507.04,-5089.16,-6596.19
1021,1574.22,3874.91,4557.18,441.26,226.09,-86.77,-3416.09,-28289.1,1531.98,17921.32,-5274.44,188.0,-1664.99,-5086.44,-6751.43
1026,1622.94,3948.8,4577.15,448.11,236.98,-92.6,-3380.9,-28269.98,1521.14,17882.77,-5276.37,183.99,-1505.6,-5092.38,-6597.98
1031,1694.84,3892.49,4560.02,445.1,232.12,-81.1,-3439.15,-28142.55,1498.94,17867.59,-5330.24,185.8,-1471.7,-5144.44,-6616.15
1036,1595.34,3879.46,4615.11,433.71,232.62,-79.49,-3379.75,-28127.13,1521.66,17891.42,-5366.73,185.71,-1417.06,-5181.02,-6598.07
1041,1589.2,3851.6,4595.28,435.25,241.07,-64.8,-3471.98,-28143.06,1538.32,17885.03,-5328.59,182.68,-1544.07,-5145.91,-6689.98
1046,1675.23,3902.01,4567.13,449.46,245.52,-94.28,-3423.58,-28135.32,1528.04,17828.43,-5326.73,182.36,-1457.38,-5144.37,-6601.75
1051,1600.3,3904.6,4629.96,431.38,236.69,-86.41,-3450.86,-28220.27,1498.78,17921.65,-5267.11,182.95,-1534.18,-5084.15,-6618.33
1056,1600.09,3856.92,4562.8,448.85,251.84,-63.68,-3399.3,-28132.67,1516.36,17891.13,-5338.34,183.03,-1467.66,-5155.31,-6622.97
1061,1595.78,3970.44,4561.38,441.19,230.76,-62.66,-3381.75,-28287.35,1501.81,17859.22,-5238.87,185.97,-1571.18,-5052.9,-6624.08
1066,1602.99,3910.32,4583.53,440.16,237.35,-74.46,-3410.76,-28143.01,1498.03,17862.94,-5365.6,187.19,-1492.94,-5178.42,-6671.35
1071,1590.3,3890.41,4612.63,451.79,229.81,-69.73,-3417.38,-28262.25,1506.22,17967.39,-5269.48,184.84,-1500.81,-5084.65,-6585.46
1076,1596.82,3873.45,4574.41,449.3,239.4,-54.99,-3409.57,-28271.98,1514.54,17905.22,-5237.53,183.93,-1583.41,-5053.6,-6637.01
1081,1584.46,3930.86,4569.02,446.4,234.56,-79.59,-3410.64,-28295.39,1500.04,17928.56,-5251.53,186.6,-1591.72,-5064.93,-6656.65
1086,1603.78,4029.3,4591.57,452.07,239.68,-75.22,-3387.22,-28217.28,1487.91,17763.55,-5211.18,185.46,-1511.87,-5025.73,-6537.6
